epiweek,AC,RS,BA,SC,TO,RN,CE,RJ,PR,RR,RO,SP,AM,AL,AP,SE,MG,MA,MS,PA,MT,GO,ES,PI,DF,PB,PE
201401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201402,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201405,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
201406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201409,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
201410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
201417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201420,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
201421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201425,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
201429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
201430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201431,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
201434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
201435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
201436,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
201437,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201438,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
201439,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
201440,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,3,0,0
201441,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1
201442,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
201443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
201444,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0
201445,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,2,0,0
201446,0,0,4,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0
201447,0,0,1,0,0,1,0,0,0,1,1,0,0,2,5,0,0,0,1,0,0,0,0,0,3,0,0
201448,0,0,2,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
201449,0,0,7,0,0,2,1,1,0,0,0,3,0,4,8,0,0,0,1,0,0,0,0,0,3,0,0
201450,0,0,8,0,2,0,0,0,1,1,0,1,0,13,4,0,0,0,0,1,0,1,0,0,2,0,1
201451,0,0,14,0,0,5,1,0,0,3,0,3,0,13,4,0,1,0,1,2,0,8,0,0,4,0,1
201452,0,0,38,1,0,5,0,2,3,5,0,5,1,22,20,1,0,2,0,0,0,5,0,2,4,0,2
201453,0,0,83,3,3,19,0,2,1,4,0,17,3,24,115,8,0,12,9,3,1,13,0,2,9,0,7
201501,1,3,254,1,2,23,2,2,4,11,1,27,2,27,134,10,3,17,6,0,1,16,0,1,4,0,13
201502,0,17,261,0,4,29,0,0,3,12,0,19,3,88,96,9,4,27,9,6,1,11,0,2,11,0,7
201503,3,0,212,2,2,75,1,3,2,11,1,40,4,98,84,9,4,9,9,3,0,19,0,6,17,1,11
201504,0,0,161,1,0,74,3,1,0,4,1,31,0,132,66,5,4,2,6,2,0,11,0,4,7,1,11
201505,0,0,209,1,0,200,2,1,3,6,1,37,1,136,102,8,1,13,7,5,1,6,0,3,16,1,4
201506,0,0,162,1,1,399,3,1,1,6,2,39,1,70,90,11,7,3,5,3,1,2,0,1,7,0,6
201507,0,1,216,1,3,462,5,0,5,6,1,48,2,49,83,17,5,1,2,8,1,4,1,5,9,0,13
201508,0,0,274,4,0,714,0,2,2,6,1,45,0,33,41,30,4,0,5,4,1,4,0,7,6,1,5
201509,0,0,333,1,2,669,1,1,2,7,0,36,0,9,70,49,1,1,3,3,1,5,0,6,6,0,4
201510,0,0,378,1,0,481,9,1,2,6,0,33,1,1,55,35,4,1,4,3,0,8,0,8,8,0,14
201511,0,0,500,3,2,325,1,3,0,4,1,40,0,1,19,38,9,3,1,6,0,1,0,24,6,4,13
201512,0,5,548,0,1,295,2,2,5,1,0,30,1,2,46,29,1,0,0,2,1,2,0,26,3,1,14
201513,0,0,628,1,3,175,7,2,5,2,0,27,1,2,24,17,3,1,3,1,1,3,1,37,3,0,5
201514,0,1,764,1,3,180,12,6,2,9,1,24,1,1,35,40,6,4,3,5,3,3,2,40,10,0,8
201515,0,3,683,0,4,148,19,1,2,3,0,15,1,2,9,31,3,4,2,1,1,4,0,48,7,1,4
201516,0,2,729,2,4,75,28,3,2,2,1,26,3,1,12,23,1,9,3,8,2,3,0,55,6,4,4
201517,0,3,782,2,3,37,32,1,0,2,4,9,0,3,9,16,4,8,2,5,2,4,0,37,3,2,2
201518,0,0,772,3,3,34,37,3,4,8,1,25,0,5,4,9,13,3,1,8,2,2,3,14,4,1,7
201519,0,1,780,0,8,27,32,1,2,3,2,15,0,1,8,8,9,2,2,9,1,6,3,23,8,1,4
201520,0,1,716,3,9,20,36,2,4,7,0,19,1,2,10,12,4,1,3,8,2,4,1,22,5,3,3
201521,0,1,670,3,11,8,38,2,2,6,1,16,2,3,3,2,0,4,0,9,1,0,1,14,5,1,6
201522,0,0,561,1,4,4,32,6,2,6,0,18,2,3,12,3,6,3,2,7,0,1,1,16,3,2,6
201523,0,2,677,3,8,8,29,3,1,15,1,20,3,2,11,1,2,2,1,14,2,3,1,16,2,0,4
201524,0,1,771,4,10,4,28,4,0,10,2,20,0,9,8,3,4,7,1,11,4,1,1,15,2,2,6
201525,0,0,620,0,19,6,21,0,0,7,1,16,3,6,2,1,3,2,1,11,2,4,2,2,5,0,4
201526,0,0,676,1,8,4,16,1,5,7,0,29,3,12,3,2,1,0,3,11,4,0,2,3,7,0,4
201527,0,0,901,1,8,2,12,3,1,6,0,21,7,10,2,4,2,2,1,8,3,1,0,6,4,2,6
201528,0,0,1011,2,1,1,16,1,3,16,0,28,11,10,1,1,0,2,0,8,3,0,0,0,5,1,4
201529,0,1,869,1,1,2,23,3,9,19,1,26,9,5,3,5,1,0,1,8,6,2,0,0,4,1,13
201530,0,1,768,0,3,3,11,1,3,11,1,22,9,3,5,9,1,1,1,13,9,0,0,0,2,1,13
201531,0,2,604,0,4,2,5,2,2,12,0,17,7,4,6,14,0,2,1,9,15,4,0,0,1,1,30
201532,0,0,496,0,3,4,10,7,2,19,3,19,9,10,9,20,1,6,2,9,14,1,0,0,1,0,49
201533,0,1,437,0,3,3,9,1,0,26,1,12,3,7,2,12,0,2,2,22,6,0,1,0,2,0,49
201534,0,0,368,1,4,5,2,0,3,28,1,14,13,43,2,13,0,3,0,17,17,0,0,0,0,3,40
201535,0,0,366,1,5,2,1,1,0,18,0,10,8,16,4,29,3,1,2,19,13,1,0,0,0,1,171
201536,0,0,377,1,1,8,1,1,1,31,1,7,4,11,1,56,0,3,1,17,10,0,0,0,1,0,211
201537,0,3,423,1,2,6,2,0,1,22,0,14,5,26,2,67,0,2,1,19,5,0,0,0,2,0,193
201538,0,4,449,3,2,5,3,3,3,21,1,13,2,3,3,60,1,5,1,15,1,0,3,1,0,0,142
201539,1,1,394,1,4,5,1,3,3,10,0,20,10,20,1,93,0,7,3,16,3,0,0,0,1,0,226
201540,0,0,434,2,2,5,6,2,3,1,0,7,2,29,3,103,1,13,1,15,10,0,1,0,0,0,270
201541,0,1,334,5,2,5,9,1,0,3,0,20,2,27,1,89,4,7,2,14,4,2,1,0,2,1,183
201542,0,1,449,3,3,7,0,3,3,5,0,22,2,41,0,131,1,31,2,19,2,0,0,0,0,0,132
201543,1,1,449,1,0,6,1,1,2,3,0,25,2,90,1,127,1,34,2,23,2,0,2,0,0,0,154
201544,0,0,586,1,3,9,10,10,0,0,0,25,2,170,4,383,5,65,0,24,3,0,2,1,2,1,196
201545,2,0,601,7,4,21,13,13,4,2,2,33,0,243,2,188,4,7,3,26,3,0,0,0,3,0,436
201546,3,3,685,6,7,14,16,10,6,5,5,47,1,206,1,335,3,13,10,26,4,1,1,0,2,3,432
201547,6,7,818,6,8,19,30,26,10,5,2,47,5,279,1,253,5,40,9,39,13,0,4,3,5,3,538
201548,7,2,654,12,24,29,28,15,6,5,7,54,7,334,5,430,7,58,23,39,33,2,6,0,9,6,717
201549,15,8,533,9,46,32,17,20,13,2,7,67,7,200,2,385,10,60,33,18,44,1,7,1,10,4,1004
201550,19,2,558,12,11,24,19,12,17,4,3,91,5,110,5,188,12,31,19,22,17,2,3,0,5,12,775
201551,9,7,558,19,10,37,19,40,12,1,4,90,3,139,5,93,7,31,19,14,18,4,5,0,8,29,776
201552,7,6,468,16,25,28,15,52,22,4,12,122,8,98,3,101,17,28,7,21,24,2,13,0,13,18,1032
201601,24,21,664,26,50,93,31,78,45,3,23,171,12,217,3,101,28,44,11,27,41,10,3,2,14,18,1812
201602,32,10,867,26,61,68,74,115,67,1,43,183,8,258,4,87,16,93,12,26,85,4,5,2,26,18,1946
201603,41,16,942,24,58,84,35,113,66,0,30,145,10,302,3,145,28,134,9,37,72,7,7,4,25,38,2020
201604,43,10,1395,27,42,160,50,158,83,1,88,176,28,314,3,227,31,83,17,48,97,5,3,2,30,26,2341
201605,64,12,2449,26,59,451,78,218,68,4,92,219,33,343,7,369,43,91,29,30,90,15,7,9,37,95,3027
201606,78,24,3572,42,67,847,86,192,94,3,115,262,41,349,17,470,52,113,12,47,106,19,12,5,60,123,4271
201607,63,26,5220,56,113,1215,195,270,132,6,142,255,27,666,30,598,116,213,13,51,107,12,10,7,74,305,4236
201608,41,17,5500,54,74,1413,210,257,196,2,152,216,13,485,26,641,100,253,9,43,118,14,12,16,65,317,4362
201609,68,22,5197,45,74,1882,349,488,282,4,119,255,19,408,18,751,77,328,13,43,104,11,15,26,66,607,3408
201610,65,28,4414,49,58,1673,516,558,212,2,127,217,15,490,18,586,102,530,6,28,79,10,16,13,42,764,2862
201611,62,22,3934,35,28,1956,604,680,185,8,74,210,19,412,20,482,115,632,9,30,69,15,9,24,41,752,1859
201612,70,32,3191,29,27,1633,709,1287,137,3,93,180,19,517,19,498,101,615,8,24,74,8,12,37,40,886,1419
201613,58,19,2735,32,35,1616,1043,2314,131,4,88,168,17,615,28,700,99,853,10,35,63,16,11,82,48,1096,1534
201614,57,42,2211,24,35,1370,1326,2752,78,1,83,147,40,556,24,621,79,934,4,58,46,14,8,153,43,1061,1425
201615,54,23,1763,8,34,1353,1438,3157,55,6,55,128,36,570,15,397,73,1159,6,46,52,7,7,171,39,975,1142
201616,47,17,1172,8,32,1175,1988,2819,49,1,29,98,25,601,14,589,56,1182,5,51,24,9,14,221,18,1010,1142
201617,18,16,921,10,42,1228,2150,2932,22,0,15,81,40,705,11,427,41,1248,3,56,20,4,12,191,27,1148,839
201618,5,10,796,1,52,1093,2231,2532,13,1,6,57,28,713,4,271,35,1371,0,122,11,5,8,194,21,1206,670
201619,6,4,776,4,44,945,2402,2439,12,1,4,38,15,756,7,169,19,731,1,96,10,4,5,190,8,1221,684
201620,3,2,569,3,30,988,2224,1865,16,2,1,27,16,772,3,169,9,546,2,112,10,4,4,144,9,1038,599
201621,3,0,489,3,27,659,2352,1387,3,0,5,15,12,805,4,163,16,318,0,71,1,2,1,90,4,977,507
201622,12,3,576,1,39,608,2632,1319,4,0,2,23,18,724,6,164,11,278,1,65,2,2,6,83,9,874,418
201623,13,2,453,0,36,581,2655,976,10,0,4,19,6,786,8,179,2,264,0,55,0,2,2,85,4,932,457
201624,4,3,307,1,28,524,2318,779,2,0,5,15,6,787,5,131,6,143,1,100,2,1,3,97,1,645,400
201625,5,2,192,1,33,360,1856,587,2,0,7,25,6,588,8,63,4,163,1,98,2,2,3,78,3,532,336
201626,0,0,164,0,33,370,1701,557,3,1,2,21,2,486,9,98,3,114,0,74,3,0,6,82,3,458,274
201627,1,1,154,0,27,305,1464,533,1,1,4,14,4,535,6,78,5,103,0,82,0,5,3,58,7,381,262
201628,0,5,159,0,12,285,1346,428,2,1,5,14,6,399,4,66,7,87,1,98,4,0,2,42,4,328,263
201629,1,1,144,1,11,224,1097,341,4,0,5,9,9,340,3,44,1,64,0,104,2,1,1,33,2,287,229
201630,1,4,132,2,4,180,966,266,6,2,2,10,4,288,8,74,1,61,1,79,1,1,1,30,1,232,202
201631,2,3,108,4,4,184,807,214,2,0,2,14,5,264,6,68,2,67,3,103,2,2,3,35,2,193,187
201632,1,0,126,2,3,143,626,182,0,0,4,7,0,229,9,82,0,49,0,124,2,0,3,24,0,148,181
201633,2,0,100,0,0,118,570,185,3,0,1,11,4,246,10,65,0,49,1,174,2,1,3,39,3,133,161
201634,0,4,76,1,2,130,482,83,3,1,3,13,3,147,3,44,1,23,0,86,0,0,1,9,2,89,136
201635,1,3,54,2,5,106,393,100,3,2,4,6,2,80,2,43,1,25,1,53,0,0,2,8,0,53,102
201636,1,0,76,0,6,107,297,110,2,2,5,10,2,74,4,44,1,26,1,74,3,1,2,5,2,34,97
201637,1,0,78,1,13,88,289,78,1,0,1,8,8,77,4,30,2,18,0,61,0,1,2,13,6,48,97
201638,0,0,83,1,4,63,218,86,3,2,6,11,8,80,1,25,3,6,1,81,1,0,0,16,5,30,96
201639,2,2,68,0,4,44,213,52,1,0,2,11,9,70,8,33,4,3,0,55,1,1,1,11,0,17,89
201640,0,0,66,0,2,46,201,72,3,0,1,6,1,62,12,27,4,9,2,81,2,0,0,5,0,17,91
201641,1,2,108,2,7,27,208,72,6,0,3,11,8,42,12,17,1,17,2,95,3,1,6,1,1,14,61
201642,0,1,96,0,11,28,231,80,1,1,4,7,7,19,7,21,2,32,1,77,3,1,1,10,1,15,72
201643,0,0,98,0,1,23,187,71,3,0,3,7,8,36,4,34,2,3,0,75,0,0,1,5,3,12,58
201644,2,3,99,1,9,32,250,69,5,2,2,17,5,27,8,37,3,12,2,84,2,0,4,2,4,12,51
201645,2,2,126,0,6,12,300,85,2,0,5,19,10,22,3,14,8,22,1,63,0,1,6,5,4,10,40
201646,2,2,140,1,11,22,451,55,7,2,6,17,10,23,6,14,4,6,0,52,1,1,0,2,2,4,57
201647,4,0,101,1,5,19,512,100,4,3,3,22,6,13,4,16,5,17,1,59,2,2,2,3,4,6,40
201648,3,0,99,1,5,24,313,89,6,0,6,33,14,14,1,3,8,13,2,51,5,3,3,6,3,6,45
201649,3,0,111,2,9,13,227,110,7,2,9,31,17,26,3,7,14,69,0,105,5,1,3,3,1,7,52
201650,1,1,116,1,12,4,182,109,3,2,7,33,13,22,1,10,7,20,0,132,8,0,2,4,3,4,48
201651,2,3,116,0,10,11,136,82,10,3,7,36,8,14,1,8,28,29,0,178,15,2,5,2,2,12,59
201652,2,5,137,1,20,19,90,70,6,3,9,27,7,19,1,14,38,18,0,68,17,4,6,5,4,15,53
201701,4,0,318,3,41,38,244,148,4,4,8,40,6,20,5,30,91,40,3,204,36,9,21,7,4,9,34
201702,2,3,423,2,69,33,283,135,3,7,12,41,6,19,2,17,110,59,3,284,29,5,12,12,5,17,46
201703,4,0,590,1,158,29,382,149,9,7,13,35,15,20,1,13,157,85,0,417,61,6,19,12,1,14,38
201704,10,0,507,1,108,28,419,189,4,17,17,28,9,16,0,17,209,107,1,711,77,6,12,12,8,21,26
201705,1,3,428,0,125,29,577,148,13,19,10,25,11,20,1,24,327,198,3,855,82,8,34,14,6,21,33
201706,5,0,464,1,108,36,779,147,5,26,14,21,14,15,5,16,509,196,2,467,91,9,32,11,1,22,45
201707,1,3,353,2,70,37,865,128,2,36,14,16,8,2,4,15,749,221,0,321,91,5,22,13,2,21,43
201708,3,1,262,0,85,53,989,97,5,28,7,19,10,4,1,8,860,273,0,362,108,2,34,28,2,25,31
201709,3,6,324,3,81,60,1557,114,5,38,5,25,9,8,7,5,1241,382,0,336,114,2,33,30,2,16,33
201710,4,2,322,0,126,48,2185,133,6,44,11,22,21,6,3,8,1422,305,1,335,184,7,37,27,2,22,39
201711,3,4,452,2,119,42,3260,114,5,37,6,23,14,6,6,6,1471,336,4,396,167,6,45,44,1,26,47
201712,2,2,316,1,117,38,4040,99,4,38,4,21,13,17,8,12,1658,434,2,266,164,6,37,74,10,27,38
201713,1,5,231,2,135,36,6463,116,14,22,5,24,19,17,4,18,1201,266,1,277,245,6,40,96,1,25,35
201714,2,2,238,4,115,40,7622,118,5,53,1,15,9,8,4,18,1076,329,1,280,185,3,29,107,3,29,40
201715,1,3,170,1,114,43,9018,115,5,52,3,20,10,12,4,14,784,308,3,191,141,2,27,120,3,33,26
201716,3,3,158,0,121,34,10207,101,3,65,0,25,5,13,11,26,618,442,0,207,148,3,30,142,2,30,43
201717,1,3,147,0,128,33,8954,116,4,56,1,24,5,13,8,22,453,263,1,153,133,2,34,189,4,20,41
201718,2,1,141,0,143,53,10774,153,2,99,0,18,5,12,7,38,352,298,5,163,157,12,22,247,4,36,58
201719,7,1,192,8,135,36,9404,115,2,100,2,12,4,5,6,27,310,246,3,111,169,7,25,287,4,41,61
201720,3,1,215,2,133,42,8625,134,5,137,2,17,5,6,8,18,242,197,2,194,138,8,24,397,8,44,56
201721,2,2,186,2,130,51,6084,112,1,227,3,18,2,13,8,2,208,158,1,137,79,6,25,357,1,72,33
201722,3,1,219,0,129,77,5052,131,4,182,0,16,2,6,11,4,202,132,1,125,67,4,21,401,5,82,37
201723,3,1,289,1,113,64,3687,133,0,233,4,7,1,13,12,2,230,121,1,114,75,2,17,353,3,94,34
201724,4,0,334,0,69,80,2540,104,2,195,0,14,1,11,8,1,235,103,2,83,55,0,19,343,7,69,33
201725,0,0,189,1,65,88,2018,112,1,187,6,18,1,12,8,3,242,102,3,108,69,2,16,417,3,71,34
201726,3,0,205,1,54,57,1592,108,2,208,2,14,1,11,9,4,198,67,0,93,59,0,13,350,2,66,45
201727,1,1,153,0,44,41,1296,107,0,198,2,9,2,15,4,1,130,76,3,76,34,1,7,353,6,58,38
201728,1,1,131,2,24,68,945,144,2,240,6,13,1,13,7,5,125,77,0,78,39,2,7,318,0,52,45
201729,1,0,130,2,32,61,804,85,0,305,3,13,3,11,6,4,107,60,2,74,23,3,7,271,3,36,52
201730,0,1,95,1,22,49,638,93,1,367,0,16,5,8,3,3,85,35,1,89,22,2,7,212,4,48,49
201731,2,1,86,0,23,54,553,94,3,241,4,14,1,8,8,4,58,34,2,93,18,0,8,209,1,50,50
201732,1,2,77,0,19,67,390,116,1,183,3,12,3,9,5,3,50,49,0,101,18,3,11,179,1,60,55
201733,0,0,82,0,19,61,324,56,0,115,1,14,3,12,2,2,36,35,5,57,19,0,5,165,0,46,53
201734,1,0,77,0,15,46,229,38,4,51,2,11,1,9,3,2,45,47,1,68,12,2,6,118,1,51,42
201735,1,0,67,0,5,49,152,45,0,49,2,7,2,3,5,4,27,32,4,64,8,2,9,65,1,36,35
201736,0,2,48,0,6,21,134,33,0,16,1,12,1,5,1,2,24,22,3,55,6,0,5,54,0,33,34
201737,1,1,52,0,6,29,119,49,3,18,3,12,1,7,5,4,42,24,4,48,7,1,10,71,3,50,44
201738,0,3,39,0,11,31,105,37,4,17,3,18,2,3,5,9,24,20,2,54,13,0,4,50,2,25,49
201739,2,0,33,0,7,26,100,37,4,13,1,15,0,4,1,1,17,15,7,40,6,1,4,34,0,22,21
201740,2,0,23,0,5,20,92,39,2,9,2,15,0,6,2,3,23,12,2,27,3,2,5,34,2,21,25
201741,4,0,22,1,3,24,59,28,2,16,0,18,0,5,1,5,25,12,7,25,9,1,2,31,2,22,26
201742,2,1,16,2,7,16,59,43,2,12,2,16,0,3,3,3,32,13,10,39,9,4,3,14,1,21,27
201743,0,1,16,4,8,21,53,24,3,7,2,16,1,1,2,0,18,21,10,49,9,0,4,11,3,18,26
201744,1,0,20,0,6,20,71,38,2,3,1,15,1,2,3,1,28,10,3,42,11,2,9,21,1,18,14
201745,3,1,23,0,3,14,70,22,3,4,2,17,2,2,2,1,25,20,7,81,15,3,6,15,3,11,16
201746,0,0,23,1,5,20,60,35,5,6,1,25,2,3,0,0,32,22,9,62,18,2,8,21,1,20,22
201747,0,2,26,1,6,18,48,42,2,4,1,22,1,2,0,1,34,21,17,40,22,3,2,10,3,22,24
201748,1,0,43,1,6,11,45,26,2,1,3,28,1,2,0,1,26,6,6,73,28,0,4,10,0,9,19
201749,2,1,29,0,5,19,49,59,1,2,5,19,1,5,3,1,30,7,1,67,27,1,4,17,0,16,25
201750,1,1,17,1,7,13,49,89,3,2,4,21,0,6,2,0,46,7,1,57,38,1,4,16,2,15,24
201751,2,0,19,3,2,15,31,75,2,2,0,23,0,3,1,1,54,11,5,42,107,6,4,11,1,14,8
201752,2,0,15,1,2,16,19,74,0,2,1,22,0,3,0,1,73,13,5,39,192,0,4,11,1,8,18
201801,2,1,33,1,6,15,35,156,5,1,2,26,1,3,4,0,100,22,5,62,535,1,15,20,2,10,16
201802,2,2,45,0,6,12,41,160,5,1,3,18,0,2,3,0,174,29,3,63,694,6,8,12,1,29,20
201803,6,1,54,0,7,18,48,296,1,0,3,13,1,1,3,0,249,27,3,79,1006,1,9,13,1,8,15
201804,1,1,41,2,7,15,47,253,9,1,1,11,0,5,4,1,188,19,6,94,1305,4,5,20,0,9,13
201805,5,1,54,4,3,20,48,323,6,0,3,16,1,4,4,1,188,9,7,157,1251,9,6,20,1,7,13
201806,3,0,32,3,9,15,45,349,6,0,2,13,0,0,9,0,127,7,3,170,1114,5,6,14,2,7,18
201807,5,3,52,2,4,15,47,406,5,1,1,8,1,4,2,0,137,15,6,167,769,8,9,15,1,19,8
201808,8,1,63,2,9,25,52,645,3,0,0,14,3,1,0,2,260,18,3,207,921,10,7,11,2,12,18
201809,3,1,92,1,4,32,78,899,4,1,2,8,0,7,5,0,266,22,8,225,928,2,13,15,0,23,11
